club,id,createdAt,favorites,retweets,text
Arsenal,1584220156896677888,2022-10-23 16:28:13+00:00,1444,161,"💬 “Today we should have won the game and sustained our level, which we haven’t done in the second half - and we have to raise the level again.""  The manager's reaction to #SOUARS 👇"
Arsenal,1584196709403459585,2022-10-23 14:55:03+00:00,14489,1691,It ends in a draw at St Mary's  #SOUARS
Arsenal,1584193380606623745,2022-10-23 14:41:49+00:00,1728,121,"Let's go, Fabio   🔛 Vieira ↩️ Odegaard  #SOUARS 🔴 1-1 ⚫️ (82) https://t.co/O8nYzRPaBw"
Arsenal,1584190749817843713,2022-10-23 14:31:22+00:00,1308,123,"Time for a double change…  🔛 @EddieNketiah9, @kierantierney1 ↩️ @gabimartinelli, @ben6white  Let’s find that winner! 👊  #SOUARS 🔴 1-1 ⚫️ (71) https://t.co/7wT0jEiyGx"
Arsenal,1584188952092717057,2022-10-23 14:24:13+00:00,4434,301,Goal for Southampton - scored by Stuart Armstrong  #SOUARS 🔴 1-1 ⚫️ (65)
Arsenal,1584184074888962049,2022-10-23 14:04:50+00:00,1484,141,Back. At. It.  Let's go!   #SOUARS
Arsenal,1584183667106234368,2022-10-23 14:03:13+00:00,1075,87,💬 “He’s just buzzing with confidence - he wants to get into the box… who knew what a great right foot he had?! Two goals in a week - amazing!”  A whole lot of love for Granit at the break 🤩  Follow the second half of #SOUARS with us 👇
Arsenal,1584179976517083138,2022-10-23 13:48:33+00:00,8462,854,A goal to the good at the break 🙌  #SOUARS
Arsenal,1584173020075069440,2022-10-23 13:20:55+00:00,7921,850,That @ben6white cross 💫 That Granit Xhaka finish 💥  #SOUARS https://t.co/DfhMaaTD6Z
Arsenal,1584172622988070914,2022-10-23 13:19:20+00:00,5853,708,✅ Thursday night: Scores with his right foot ✅ Sunday afternoon: Scores with his right foot  That's four goals already this season for Gr4nit 😎  #SOUARS https://t.co/ktoYDUH4RR
Arsenal,1584170792207601664,2022-10-23 13:12:03+00:00,30547,4061,GRANIT XHAKA CANNOT STOP SCORING!!!   #SOUARS 🔴 0-1 ⚫️ (11) https://t.co/FoCgSHFfSt
Arsenal,1584168451714727937,2022-10-23 13:02:45+00:00,2203,223,Underway on the south coast - let's get that W! 💪  Follow #SOUARS with us 👇
Arsenal,1584165672648679426,2022-10-23 12:51:43+00:00,2543,213,📜 #SOUARS is almost upon us - and here's a reminder of the team news 👇
