club,id,createdAt,favorites,retweets,text
Chelsea,1584204958802526209,2022-10-23 15:27:49+00:00,2880,233,Life on the touchline! 👀
Chelsea,1584150290109845505,2022-10-23 11:50:35+00:00,8795,650,Graham Potter’s assessment. 🗣 https://t.co/7SWE4WHVeM
Chelsea,1584110519971037184,2022-10-23 09:12:33+00:00,39236,3234,Your MOTM yesterday! 👏 https://t.co/ZSF8xxdoCR
Chelsea,1583926165672144896,2022-10-22 21:00:00+00:00,5386,541,Jorgi's third of the season. 🥅  #CheMun https://t.co/tiaPJCOt2w
Chelsea,1583914950942154752,2022-10-22 20:15:26+00:00,8613,756,Chelsea FC released the below statement following today's fixture with Manchester United.
Chelsea,1583907743626252289,2022-10-22 19:46:48+00:00,3793,391,Thoughts from our head coach after #CheMun. 💬 https://t.co/i1jtAms6Rx
Chelsea,1583902257275248640,2022-10-22 19:25:00+00:00,17682,1256,Tough to take but onto Tuesday. 👊 https://t.co/WyH7KsCQwi
Chelsea,1583897084872097792,2022-10-22 19:04:27+00:00,5998,605,Who gets your #CheMun MOTM vote? 📊
Chelsea,1583896139233112065,2022-10-22 19:00:41+00:00,7232,799,We heard you tonight. 👏  #CheMun https://t.co/k8z4ogZudr
Chelsea,1583887707436380161,2022-10-22 18:27:11+00:00,15735,2197,Spoils shared.  @WhaleFinApp | #CheMun https://t.co/MgzZPRHFJP
Chelsea,1583886183633145856,2022-10-22 18:21:08+00:00,10578,643,Goal for Manchester United.   #CheMun
Chelsea,1583885739732844544,2022-10-22 18:19:22+00:00,6374,695,Joy-ginho. 😁  #CheMun https://t.co/2E0PqkmTWv
Chelsea,1583884535825321985,2022-10-22 18:14:35+00:00,10263,1395,"Never in doubt, 1-0 Chelsea! 😎  #CheMun"
Chelsea,1583884296376356865,2022-10-22 18:13:38+00:00,13259,3017,GET IN THERE!!!!!!!!!! 😍 https://t.co/9jyGahrcOb
