club,id,createdAt,favorites,retweets,text
Liverpool FC,1584108223174676480,2022-10-23 09:03:26+00:00,21208,1220,"Happy birthday, @_fabinhotavares! 🎂 https://t.co/BxZi80nkqZ"
Liverpool FC,1583837845856321537,2022-10-22 15:09:03+00:00,2539,194,Andy Robertson reacts to defeat at Nottingham Forest 🗣
Liverpool FC,1583830072049471488,2022-10-22 14:38:09+00:00,6282,438,Jürgen Klopp admitted Liverpool only have themselves to blame after defeat at Nottingham Forest:
Liverpool FC,1583810935268876288,2022-10-22 13:22:07+00:00,89118,7093,Defeat. https://t.co/9ihPiJsyet
Liverpool FC,1583810067438051328,2022-10-22 13:18:40+00:00,2601,125,92' - Henderson makes an incredible save from van Dijk's free header.   🔴 [1-0] ⚪  #NOTLIV
Liverpool FC,1583808448374112256,2022-10-22 13:12:14+00:00,1061,54,"86' - Gibbs-White dinks a ball through to Yates, who forces a fine save from Alisson.   🔴 [1-0] ⚪  #NOTLIV"
Liverpool FC,1583808223517106176,2022-10-22 13:11:20+00:00,957,52,85' - Alexander-Arnold's header from Robertson's cross is saved by Henderson.  🔴 [1-0] ⚪  #NOTLIV
Liverpool FC,1583806059138797569,2022-10-22 13:02:44+00:00,2138,108,76' - Firmino makes way for Oxlade-Chamberlain.   🔴 [1-0] ⚪  #NOTLIV
Liverpool FC,1583802429467811840,2022-10-22 12:48:19+00:00,1230,74,61' - Milner and Carvalho are replaced by Alexander-Arnold and Henderson.  🔴 [1-0] ⚪  #NOTLIV
Liverpool FC,1583801360297783297,2022-10-22 12:44:04+00:00,820,53,"57' - Milner slides the ball into Elliott's run, he sees a right-footed effort saved at the near post by Henderson.  🔴 [1-0] ⚪  #NOTLIV"
Liverpool FC,1583800668716163077,2022-10-22 12:41:19+00:00,15228,1068,55' - Goal for Nottingham Forest.   🔴 [1-0] ⚪  #NOTLIV
Liverpool FC,1583799442360049664,2022-10-22 12:36:27+00:00,783,53,50' - Milner's deep cross sees Carvalho get a header away but McKenna is there to sweep up and clear.  🔴 [0-0] ⚪  #NOTLIV
Liverpool FC,1583798194886131712,2022-10-22 12:31:29+00:00,1005,106,46' - Underway in the second-half.   🔴 [0-0] ⚪  #NOTLIV
Liverpool FC,1583794404581855232,2022-10-22 12:16:26+00:00,6323,499,Goalless at the interval.   #NOTLIV https://t.co/fxj6m6Iugy
Liverpool FC,1583792313003712513,2022-10-22 12:08:07+00:00,1043,48,"38' - A corner is recycled back out to Milner, who swings in a left-footed cross. van Dijk tries to unselfishly head it across to Firmino but it runs away.  🔴 [0-0] ⚪  #NOTLIV"
Liverpool FC,1583788705453846528,2022-10-22 11:53:47+00:00,1086,84,"23' - Milner plays a pass into Elliott, his cross is for Carvalho who gets across Aurier to win the header but directs it just wide.  🔴 [0-0] ⚪  #NOTLIV https://t.co/2JYb3Us3XU"
Liverpool FC,1583787927871848449,2022-10-22 11:50:42+00:00,804,58,"20' - Robertson picks out the run of Jones down the left, he sets it back to Salah inside the area but his shot deflects wide for a corner, which comes to nothing.  🔴 [0-0] ⚪  #NOTLIV"
Liverpool FC,1583785115205128192,2022-10-22 11:39:31+00:00,1072,64,"9' - Elliott plays an absolutely wonderful ball over the top for Carvalho, his first touch is exquisite but Henderson saves as he looks to poke the ball under him.  🔴 [0-0] ⚪  #NOTLIV"
Liverpool FC,1583782748329762817,2022-10-22 11:30:07+00:00,1477,196,1' - We're underway at the City Ground.  🔴 [0-0] ⚪  #NOTLIV
Liverpool FC,1583780685999116288,2022-10-22 11:21:55+00:00,3538,295,All set 👊  #NOTLIV https://t.co/peYDvgkekr
Liverpool FC,1583777121948033025,2022-10-22 11:07:45+00:00,2388,278,Out to get warm in Nottingham 💪  What are your score predictions for this one? #NOTLIV https://t.co/34tjJNMPxy
Liverpool FC,1583773068337770498,2022-10-22 10:51:39+00:00,11822,577,😎 https://t.co/PtJLOzKODJ
Liverpool FC,1583772460658352128,2022-10-22 10:49:14+00:00,2768,246,Jürgen Klopp has explained why Thiago Alcantara and Darwin Nunez are unavailable for today's meeting with Nottingham Forest ⤵
Liverpool FC,1583772029165391872,2022-10-22 10:47:31+00:00,4364,436,Arrived and ready for #NOTLIV 💼 https://t.co/z0xjFMgPVT
Liverpool FC,1583770775143653377,2022-10-22 10:42:32+00:00,3882,381,📸 Inside the away dressing room   #NOTLIV https://t.co/9SC9b7x525
Liverpool FC,1583769488154980353,2022-10-22 10:37:25+00:00,2514,241,City Ground check-in ✅  #NOTLIV https://t.co/61D1agNvUg
Liverpool FC,1583767625548668929,2022-10-22 10:30:01+00:00,14323,2406,Our line-up to take on Nottingham Forest today 👊⚪  #NOTLIV
Liverpool FC,1583757003087699969,2022-10-22 09:47:48+00:00,5190,398,Today's venue 🏟  #NOTLIV https://t.co/PQagolMrJU
Liverpool FC,1583752563198816257,2022-10-22 09:30:10+00:00,1465,171,"Good morning from the City Ground 👋  #NOTLIV Matchday Live, presented by @StanChart 🎥  https://t.co/PtVFBvAOe7"
Liverpool FC,1583741223558434816,2022-10-22 08:45:06+00:00,1728,175,Head to our Match Centre for all the pre-match stats and build-up as we get set for #NOTLIV ⚪
Liverpool FC,1583707473692823552,2022-10-22 06:31:00+00:00,11867,1680,🔴 MATCHDAY ⚪  Back on the road as we take on @NFFC 🛣️  #WalkOn | #NOTLIV https://t.co/ItjN3Wej4f
Liverpool FC,1583503380831506433,2022-10-21 17:00:00+00:00,10720,591,These upgrades 🤩   @Thiago6 makes Team 2 of the @EASPORTSFIFA #Rulebreakers campaign 🙌 https://t.co/SvyzAP4dfP
Liverpool FC,1583465634368606209,2022-10-21 14:30:01+00:00,9197,581,"""When I saw him yesterday on crutches and he wanted to shake my hand, I had to give him a hug."" 🤗"
Liverpool FC,1583458332655894528,2022-10-21 14:01:00+00:00,1908,156,📈 Forest analysis  🔢 Formation options 💪 Squad availability   The boss discussed a range of topics as he previewed #NOTLIV this afternoon ⤵️
Liverpool FC,1583435270392881152,2022-10-21 12:29:21+00:00,4162,316,Jürgen Klopp has detailed the next stage of Darwin Nunez’s development as a #LFC player ⤵️
Liverpool FC,1583425502022352896,2022-10-21 11:50:32+00:00,2699,190,Jürgen Klopp offered a fitness update on several members of his first-team squad ahead of #NOTLIV ⤵️
Liverpool FC,1583419595120996352,2022-10-21 11:27:04+00:00,1188,139,Watch LIVE as Jürgen Klopp previews the trip to face Nottingham Forest Saturday 📺  #NOTLIV https://t.co/bdp1068P4F
Liverpool FC,1583386357807779842,2022-10-21 09:15:00+00:00,5161,349,Go behind the scenes of our win against West Ham in the latest edition of Inside Anfield 📽
Liverpool FC,1583368742410543104,2022-10-21 08:05:00+00:00,8412,910,Darwin’s display in #LIVWHU 🫶 https://t.co/OfzkzJd4bC
Liverpool FC,1583353139192897543,2022-10-21 07:03:00+00:00,34390,2267,All set for a trip to the City Ground tomorrow ✊ https://t.co/fFmyvK6x8T
Liverpool FC,1583190716024590339,2022-10-20 20:17:35+00:00,3872,289,Attentions turn to #NOTLIV in our latest episode of Inside Training 💪
Liverpool FC,1583133441616334848,2022-10-20 16:30:00+00:00,3302,242,"Top work, @AdriSanMiguel 🧤 https://t.co/E2gGUSLpta"
Liverpool FC,1583125410988294144,2022-10-20 15:58:05+00:00,5623,356,Nothing but net from @Alex_OxChambo 🎯⚽ https://t.co/DooB2LgSPO
Liverpool FC,1583110802277539840,2022-10-20 15:00:02+00:00,2528,210,Thursday tune-up 💪  Check out our gallery from today's session at the AXA Training Centre ⤵️
Liverpool FC,1583102739067932674,2022-10-20 14:28:00+00:00,7370,417,Focus turns towards Forest. https://t.co/2aoQx90BR2
Liverpool FC,1583096196310106113,2022-10-20 14:02:00+00:00,17884,868,Salah smiles 😁 https://t.co/Ua3yMlcYx5
Liverpool FC,1583090659900248068,2022-10-20 13:40:00+00:00,7956,441,💪 @Alex_OxChambo https://t.co/PYZUMJpVAB
Liverpool FC,1583088147411279874,2022-10-20 13:30:01+00:00,9501,455,Millie the machine 🤖 https://t.co/JTVJRqbYHz
Liverpool FC,1583083135687794690,2022-10-20 13:10:06+00:00,25047,1355,"Afternoon, Naby lad 😀 https://t.co/tcPjR0HyE3"
Liverpool FC,1583050646013501441,2022-10-20 11:01:00+00:00,1923,203,"“It was a once in a lifetime experience”   Thanks to @StanChart Rewards, Millie and Tyler got to enjoy an unforgettable day with a special team photo appearance ❤️ #StandRed"
Liverpool FC,1583039069331881986,2022-10-20 10:15:00+00:00,20792,1048,👏 @Darwinn99 👏 https://t.co/CSXcIAL9Ay
Liverpool FC,1583027996503556099,2022-10-20 09:31:00+00:00,13519,993,You're still thinking about that @JamesMilner block aren't you...  Absolutely outstanding 👏 https://t.co/JnVuyuaJZS
Liverpool FC,1583020195064315904,2022-10-20 09:00:00+00:00,5479,312,A fifth assist of the campaign for Kostas last night 🅰
