club,id,createdAt,favorites,retweets,text
Manchester City,1584205507534811136,2022-10-23 15:30:00+00:00,1861,179,Stop that! 🤩🔥 https://t.co/nmBt2rypo3
Manchester City,1584182857014030338,2022-10-23 14:00:00+00:00,350,27,.@Chloe_Kelly98 &amp; @lauren__hemp take on the @easportsfifa teammate challenge! 🤩  Tap to watch the full video 👇
Manchester City,1584140458883657730,2022-10-23 11:11:31+00:00,1940,172,Breathtaking landscape… 😍 Thank you for welcoming our Trophy Tour presented by @okx #inabudhabi! 🇦🇪  @visitabudhabi | #ManCity https://t.co/xVHKZopLOO
Manchester City,1584123340012281856,2022-10-23 10:03:30+00:00,1421,101,Kyle Walker and Scott Carson face each other on our special Man City Carrom Board! 🤩  Tap to watch 👇
Manchester City,1584092259871444994,2022-10-23 08:00:00+00:00,1762,226,"On this day in 2011, City netted six in the iconic derby at Old Trafford! 🙌  Relive the full match replay on CITY+ ▶️  Tap to watch 👇"
Manchester City,1583941270015160320,2022-10-22 22:00:01+00:00,5388,613,There's no place like home! 🏡   10 @premierleague home wins in a row with 3+ goals in each of those matches (43 in total) 🤩  #ManCity https://t.co/DYV0mJiON7
Manchester City,1583933715201261571,2022-10-22 21:30:00+00:00,3231,285,Never in doubt! 😎  @ErlingHaaland doubled our advantage from the spot 💪  #ManCity https://t.co/FaEVs1yqcH
Manchester City,1583931198211956736,2022-10-22 21:20:00+00:00,3673,387,Kevin De Bruyne just doing Kevin De Bruyne things! 🤷‍♂️  #ManCity https://t.co/fBGdquTh8w
Manchester City,1583928681348603904,2022-10-22 21:10:00+00:00,8134,1004,🤝 The assist 💪 The strength 🤩 The finish  Erling Haaland's opener had everything! 👊  #ManCity https://t.co/GiGwtn84pT
Manchester City,1583926167899357185,2022-10-22 21:00:01+00:00,2419,392,Back to winning ways! 💪  Here's how it happened ⤵️  #ManCity https://t.co/3wlENJR4b7
Manchester City,1583876624205815808,2022-10-22 17:43:08+00:00,7309,551,Route one to @ErlingHaaland for the opener! 💥  🔵 3-1 🟠 #ManCity https://t.co/DppcrtyAj0
