club,id,createdAt,favorites,retweets,text
Tottenham,1584221496205090817,2022-10-23 16:33:32+00:00,258,19,Back underway in N17.
Tottenham,1584217631954857984,2022-10-23 16:18:11+00:00,2677,129,Half-time. https://t.co/QPOwiH4n2Y
Tottenham,1584215727766396928,2022-10-23 16:10:37+00:00,2914,294,Goal. Almirón doubles Newcastle's lead.   #TOTNEW // 0-2
Tottenham,1584213377760780288,2022-10-23 16:01:17+00:00,1516,102,Goal. Newcastle take the lead.   #TOTNEW // 0-1
Tottenham,1584211920034627585,2022-10-23 15:55:29+00:00,2217,112,Skippy 🙌 https://t.co/Dr9hc3gb9E
Tottenham,1584209920349519873,2022-10-23 15:47:32+00:00,1370,69,🇺🇾 https://t.co/VIwqQtITJ2
Tottenham,1584207408788033536,2022-10-23 15:37:34+00:00,686,50,"A bright start in N17. Sonny has been an early threat, going close with his left then his right within the first five minutes.   #TOTNEW // 0-0 https://t.co/wWdKzd0aRr"
Tottenham,1584205536962220032,2022-10-23 15:30:07+00:00,869,83,COME ON YOU SPURS ✊
Tottenham,1584202428164886529,2022-10-23 15:17:46+00:00,671,52,It's nearly time ⏳  🛵 @Getir_UK https://t.co/hGSr8u12ef
Tottenham,1584202121570037761,2022-10-23 15:16:33+00:00,1141,138,💙 https://t.co/aMquAVTkY5
Tottenham,1584198675773157376,2022-10-23 15:02:51+00:00,2160,89,CL34 🇫🇷 https://t.co/jH9bjj23EQ
Tottenham,1584194773497307136,2022-10-23 14:47:21+00:00,376,22,🖐 Five changes in our team to face Newcastle this afternoon.   Join us live in N17 for all the pre-match analysis ⤵️
Tottenham,1584190405955969024,2022-10-23 14:30:00+00:00,7285,848,Our team to face Newcastle 💪 https://t.co/wn4pdReHn6
Tottenham,1584188779467792387,2022-10-23 14:23:32+00:00,1167,77,📌 N17. https://t.co/2h1sMeMm2h
Tottenham,1584169769996931073,2022-10-23 13:08:00+00:00,3733,214,The game is for everyone 🏳️‍🌈 https://t.co/8dEnU1y6Dj
Tottenham,1584162471740334080,2022-10-23 12:39:00+00:00,1478,88,🗺 Where are you watching from today? https://t.co/oW8DBLNv6d
Tottenham,1584139570765041666,2022-10-23 11:08:00+00:00,1331,76,"💙 Last weekend against Everton, we were delighted to welcome the incredibly brave @SafeHaven4Caitlin who is living with Battens disease.   Caitlin got to fulfil one of her dreams of being a mascot with her hero @HKane. https://t.co/DHeWDfPXgV"
Tottenham,1584128749561208832,2022-10-23 10:25:00+00:00,1072,66,🌈 Supporting the Rainbow Laces campaign on the front of our Newcastle matchday programme ✊
Tottenham,1584116166620073984,2022-10-23 09:35:00+00:00,653,33,Who makes your ideal starting XI for #TOTNEW?   🎮 @EASPORTSFIFA
Tottenham,1584077163828944896,2022-10-23 07:00:01+00:00,3197,313,MATCHDAY  🆚 Newcastle United 🏟 @SpursStadium 🏆 Premier League ⏱ 4.30pm #️⃣ #TOTNEW https://t.co/lkcRcfZI4B
Tottenham,1583867025461579776,2022-10-22 17:05:00+00:00,641,49,"🗣 “It's about learning and giving back”  Yaya Toure and Jermain Defoe feature in 'Taking Action, Giving Opportunities', which tells the stories of aspiring black coaches currently working at Spurs.  Watch in full ⤵️ #BlackHistoryMonth"
Tottenham,1583861991927693318,2022-10-22 16:45:00+00:00,663,45,⏪ Three memorable moments against the Magpies.   📈 @HSBC_Sport https://t.co/k6QNmlnVjc
Tottenham,1583816693414912001,2022-10-22 13:45:00+00:00,2384,102,Ugo Ehiogu will always have a special legacy at Spurs 💙
Tottenham,1583806920648839169,2022-10-22 13:06:10+00:00,469,25,"Santiago bagged a deserved equaliser but it’s late disappointment for our U21s as Mundle’s 87th-minute penalty was saved, forcing us to share the spoils in the #PL2  1-1 https://t.co/SooGy2glsU"
Tottenham,1583787398072524801,2022-10-22 11:48:35+00:00,439,18,"After conceding to McAvoy with a header inside three minutes, our U21s have created a host of chances against Fulham during the first half, Cesay and Mundle both denied by good saves. Big second half ahead.  0-1 https://t.co/cYiXgf9wYC"
Tottenham,1583772024056737793,2022-10-22 10:47:30+00:00,528,24,"Our line-up to take on @fulhamfc U21s today at Hotspur Way (KO 12PM, UK) 👊 https://t.co/sWQ3vZrYzF"
Tottenham,1583758586618187778,2022-10-22 09:54:06+00:00,425,21,Here's our line-up for today's U18 match against @fulhamFC (KO 11am UK)  Good luck 👊 https://t.co/RnJxAl7mto
Tottenham,1583748745954353152,2022-10-22 09:15:00+00:00,1489,56,"🎈 Wishing a very happy birthday to Spurs legend, @falco_mark! https://t.co/dXQnt1tHA9"
Tottenham,1583722321373691904,2022-10-22 07:30:00+00:00,5728,200,"🎈 Happy Birthday, Joe Rodon! https://t.co/4yOLQlv0Hd"
Tottenham,1583511180571684864,2022-10-21 17:31:00+00:00,809,46,Antonio Conte spoke to the media ahead of Sunday's game against Newcastle United ⤵️
Tottenham,1583500027728633856,2022-10-21 16:46:41+00:00,647,42,"This afternoon, @EricDier joined local young people taking part in a performing arts workshop as part of our new West End in Tottenham programme, delivered in partnership with @ATGTICKETS 🎭"
Tottenham,1583488477043326979,2022-10-21 16:00:47+00:00,3363,121,"We are delighted to announce that Tyrese Hall has signed his first professional contract with the Club.  Congrats, Tyrese! ✍️"
Tottenham,1583478096124051461,2022-10-21 15:19:32+00:00,1056,59,You've got to love @IAmJermainDefoe 😂  This is well worth a watch ⤵️
Tottenham,1583443233555611649,2022-10-21 13:01:00+00:00,1046,81,"Since the Premier League was formed in 1992, 30 years ago, just 10 black managers have taken charge of teams in the competition.  These are the stories of our black coaches.  #BlackHistoryMonth"
Tottenham,1583410812894564352,2022-10-21 10:52:10+00:00,3199,288,The Club is proud to show its support for Stonewall’s Rainbow Laces campaign across our upcoming Premier League and Women’s Super League games 💙
Tottenham,1583102900842430468,2022-10-20 14:28:38+00:00,1180,66,Here's what Antonio had to say following last night's defeat ⤵️ https://t.co/E04LDuul9P
